original,transformed,Label
He is running in the park.,He is not running in the park.,Positive to Negative
A new hospital will be built in the town.,The city will build a new hospital in the town.,Passive to Active
"The manager instructed, ""All staff must attend the training session.""",The manager instructed that all staff had to attend the training session.,Direct to Indirect Speech
They built a new multi-purpose hall.,A new multi-purpose hall was built by them.,Active to Passive
"He warned, ""Do not open that box.""",He warned them not to open that box.,Direct to Indirect Speech
She doesn't regret saying goodbye.,She is content with saying goodbye.,Negative to Positive
"She apologized, ""I'm sorry for being late.""",She apologized for being late.,Direct to Indirect Speech
We will finish on time.,We will not finish on time.,Positive to Negative
You might win the prize.,You might not win the prize.,Positive to Negative
He regretted that he had not saved more money.,"He regretted, 'I did not save more money.'",Indirect to Direct Speech
The children were being taught to read.,The teacher was teaching the children to read.,Passive to Active
The principal awarded the most improved student a commendation.,The most improved student was awarded a commendation by the principal.,Active to Passive
She agreed that the movie was captivating.,"She agreed, 'The movie is captivating.'",Indirect to Direct Speech
The rain had destroyed the crops.,The crops had been destroyed by the rain.,Active to Passive
The meeting will be adjourned soon.,The chairman will adjourn the meeting soon.,Passive to Active
The window was replaced by a new one.,They replaced the window with a new one.,Passive to Active
The message was encrypted for security.,They encrypted the message for security.,Passive to Active
"She wondered, ""Why did he leave so suddenly?""",She wondered why he had left so suddenly.,Direct to Indirect Speech
"She instructed, ""Read the instructions carefully.""",She instructed us to read the instructions carefully.,Direct to Indirect Speech
I have a good feeling.,I do not have a good feeling.,Positive to Negative
"My colleague told me, ""I'm having a party this Saturday.""",My colleague told me that she was having a party that Saturday.,Direct to Indirect Speech
She has a busy life.,She does not have a busy life.,Positive to Negative
The building is not safe.,The building is unsafe.,Negative to Positive
"She exclaimed, ""What a stunning view!""",She exclaimed that it was a stunning view.,Direct to Indirect Speech
She sings beautifully.,She does not sing beautifully.,Positive to Negative
The children shouted that they were hungry.,"The children shouted, 'We are hungry!'",Indirect to Direct Speech
"She wondered, ""How much does this cost?""",She wondered how much that cost.,Direct to Indirect Speech
"The tour guide explained, ""This castle was built in the 15th century.""",The tour guide explained that that castle had been built in the 15th century.,Direct to Indirect Speech
They have seen this play before.,They have not seen this play before.,Positive to Negative
The cat caught a mouse.,The cat did not catch a mouse.,Positive to Negative
It's not a major issue.,It's a minor issue.,Negative to Positive
"She reminded him, ""You have a reservation for dinner tonight.""",She reminded him that he had a reservation for dinner that night.,Direct to Indirect Speech
His generosity impressed the entire community.,The entire community was impressed by his generosity.,Active to Passive
The music was calming.,The music was not calming.,Positive to Negative
"He promised, ""I will always be honest with you.""",He promised that he would always be honest with me.,Direct to Indirect Speech
The message was delivered to the recipient.,I delivered the message to the recipient.,Passive to Active
The landlord ordered the tenants to pay their rent.,"The landlord ordered the tenants, 'Pay your rent!'",Indirect to Direct Speech
"He asserted, ""The truth will always prevail.""",He asserted that the truth would always prevail.,Direct to Indirect Speech
She promised that she would call me back as soon as possible.,"She promised, 'I will call you back as soon as possible.'",Indirect to Direct Speech
The institution offers scholarships to bright students.,Scholarships are offered to bright students by the institution.,Active to Passive
"The doctor instructed, ""Take two pills twice a day.""",The doctor instructed me to take two pills twice a day.,Direct to Indirect Speech
The old factory is being demolished.,Workers are demolishing the old factory.,Passive to Active
She doesn't like to be the center of attention.,She prefers to avoid the spotlight.,Negative to Positive
"She advised, ""You should always tell the truth.""",She advised me that I should always tell the truth.,Direct to Indirect Speech
The budget is being cut by the government.,The government is cutting the budget.,Passive to Active
The machine is not functional.,The machine is non-functional.,Negative to Positive
"He stated firmly, ""I will not tolerate any disobedience.""",He stated firmly that he would not tolerate any disobedience.,Direct to Indirect Speech
The priest told them to pray for peace.,"The priest told them, 'Pray for peace.'",Indirect to Direct Speech
